PC travado em: 02A9, Reg1: 00, Reg0: 00, VBlank: true, LInt: true, HCount: 80
PC travado em: 02A9, Reg1: 00, Reg0: 00, VBlank: true, LInt: true, HCount: 80
PC travado em: 02A9, Reg1: 00, Reg0: 00, VBlank: true, LInt: true, HCount: 80
PC travado em: 01B7, Reg1: A2, Reg0: 26, VBlank: true, LInt: false, HCount: 80
PC travado em: 01B7, Reg1: A2, Reg0: 26, VBlank: true, LInt: false, HCount: 80
PC travado em: 01B7, Reg1: A2, Reg0: 26, VBlank: true, LInt: false, HCount: 80
PC travado em: 01B8, Reg1: A2, Reg0: 26, VBlank: true, LInt: false, HCount: 80
PC travado em: 01B8, Reg1: A2, Reg0: 26, VBlank: true, LInt: false, HCount: 80
PC travado em: 0592, Reg1: A2, Reg0: 26, VBlank: true, LInt: false, HCount: 80
PC travado em: 01B7, Reg1: A2, Reg0: 26, VBlank: true, LInt: false, HCount: 80
PC travado em: 01B8, Reg1: A2, Reg0: 10, VBlank: true, LInt: false, HCount: 80
PC travado em: 50FF, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A3D, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 50FF, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A3D, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 49FF, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A40, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 49FF, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A40, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A00, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A43, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A01, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A43, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A04, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A43, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A04, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A43, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
PC travado em: 4A05, Reg1: A2, Reg0: 10, VBlank: true, LInt: true, HCount: 80
